Link,Title,Authors,Abstract
https://doi.org/10.55525/tjst.1266144,Computer Vision Based AutoML Platform,Burak Şahi̇n; Aytuğ Boyacı,"The rapid increase in data generation with technological developments and scientific research has led to the development of new data analysis tools, including Machine Learning (ML). ML is an alternative to conventional engineering methods and it does not require field knowledge of the problem to obtain solutions. However, ML algorithms can be complex, and expert knowledge is required to use them effectively. Various methods have emerged to answer this problem. There are many areas and problems where machine learning can be applied. We have limited our research to the problems that can be solved by Computer Vision and AutoML. We use the AutoML and Vision based approach to achieve a solution for Classification, Object Detection and Segmentation tasks. Our aim was the develop a platform that works without expert intervention. Users loads the dataset and choose the tasks that they want and without touching anything they can train their model. When trainning has done, they can stream it in real time with their own hardware."
https://doi.org/10.1080/13287982.2025.2468087,Use of AutoML platform for prediction of interface shear strength of reinforced concrete push-off tests,Tanveer Habib; S. Waseem; F. Sofi,
https://doi.org/10.1109/MCSoC64144.2024.00018,"A Comparative Study of AI and Low-Code Platforms for SMEs: Insights into Microsoft Power Platform, Google AutoML and Amazon SageMaker",C. Kok; Hui Rong Tan; Chee Kit Ho; Charles Lee; T. H. Teo; Howard Tang,"Artificial Intelligence (AI) and Machine Learning (ML) have become critical tools for enhancing business efficiency and innovation, traditionally accessible only to large enterprises with specialized resources. However, the emergence of low-code and no-code platforms has democratized AI, enabling small and medium-sized enterprises (SMEs) to leverage these technologies without requiring extensive technical knowledge. This paper explores three leading low-code AI platforms—Microsoft Power Platform, Google AutoML, and Amazon SageMaker—highlighting their unique capabilities, strengths, and suitability for SMEs. Microsoft Power Platform integrates AI with business process automation, providing a versatile toolkit for app development, data analytics, and workflow automation. Google AutoML focuses on simplifying the creation of custom machine learning models, offering user-friendly interfaces for non-experts to develop and deploy image classification, natural language processing, and structured data models. Amazon SageMaker delivers a comprehensive ML lifecycle management system tailored to more technically skilled users, enabling complex model development and deployment at scale. Through a comparative analysis, this paper evaluates the usability, scalability, and cost-effectiveness of each platform, helping SMEs choose the most appropriate AI solution. Additionally, a step-by-step guide to setting up and deploying an image classification model using Google AutoML Vision is provided to demonstrate the practical application of AI for SMEs."
https://pmc.ncbi.nlm.nih.gov/articles/PMC10048150,SCP4ssd: A Serverless Platform for Nucleotide Sequence Synthesis Difficulty Prediction Using an AutoML Model,Jianqi Zhang; Shuai Ren; Zhenkui Shi; Ruoyu Wang; Haoran Li; Huijuan Tian; Miao Feng; Xiaoping Liao; Hongwu Ma,"DNA synthesis is widely used in synthetic biology to construct and assemble sequences ranging from short RBS to ultra-long synthetic genomes. Many sequence features, such as the GC content and repeat sequences, are known to affect the synthesis difficulty and subsequently the synthesis cost. In addition, there are latent sequence features, especially local characteristics of the sequence, which might affect the DNA synthesis process as well. Reliable prediction of the synthesis difficulty for a given sequence is important for reducing the cost, but this remains a challenge. In this study, we propose a new automated machine learning (AutoML) approach to predict the DNA synthesis difficulty, which achieves an F1 score of 0.930 and outperforms the current state-of-the-art model. We found local sequence features that were neglected in previous methods, which might also affect the difficulty of DNA synthesis. Moreover, experimental validation based on ten genes of Escherichia coli strain MG1655 shows that our model can achieve an 80% accuracy, which is also better than the state of art. Moreover, we developed the cloud platform SCP4SSD using an entirely cloud-based serverless architecture for the convenience of the end users."
https://doi.org/10.47974/jios-1890,Semantic web empowered prediction of cervical cancer through machine learning on cloud platform using Semantic AutoML Cloud,Sheetal Agarwal; Rupal Gupta,"Semantic web technologies and machine learning have shown great results in predictive analytics in many areas. Applying machine learning to semantic web data can solve use cases in various domains including the healthcare domain. With rapid growth of data on the web, there is a need for graph database solutions that can be used to store and process semantic web data. This paper proposes an algorithm SemanticAutoMLCloud that further demonstrates the ability with the proposed architecture to integrate semantic web technologies with machine learning using the Amazon SageMaker Autopilot on the AWS cloud platform, which uses Amazon Neptune as a graph database solution to store a large volume of semantic web data. Furthermore, Amazon SageMaker Autopilot training modes, including the Ensembling mode and Hyperparameter Optimization (HPO) mode, and different algorithms of these training modes have been applied to cervical cancer data extracted from the RDF dataset using SPARQL query processing. The XGBoost algorithm of HPO mode outperformed as compared to other algorithms with 99.5% accuracy in the classification of cervical cancer. The purpose of this research is to integrate the machine learning implementation over semantic web data on a cloud platform to solve diverse use cases. This paper proposes a novel architecture that can work on heavy datasets having billions of triples and can be used to process large amounts of data. This paper also illustrates the implementation details of the proposed architecture, which focuses on machine learning."
https://pmc.ncbi.nlm.nih.gov/articles/PMC10942883,Enhancing paranasal sinus disease detection with AutoML: efficient AI development and evaluation via magnetic resonance imaging,Ryan Chin Taw Cheong; Susan Jawad; Ashok Adams; Thomas Campion; Zhe Hong Lim; Nikolaos Papachristou; S. Unadkat; Premjit S. Randhawa; Jonathan Joseph; Peter Andrews; Paul Taylor; Holger Kunz,Purpose Artificial intelligence (AI) in the form of automated machine learning (AutoML) offers a new potential breakthrough to overcome the barrier of entry for non-technically trained physicians. A Clinical Decision Support System (CDSS) for screening purposes using AutoML could be beneficial to ease the clinical burden in the radiological workflow for paranasal sinus diseases. Methods The main target of this work was the usage of automated evaluation of model performance and the feasibility of the Vertex AI image classification model on the Google Cloud AutoML platform to be trained to automatically classify the presence or absence of sinonasal disease. The dataset is a consensus labelled Open Access Series of Imaging Studies (OASIS-3) MRI head dataset by three specialised head and neck consultant radiologists. A total of 1313 unique non-TSE T2w MRI head sessions were used from the OASIS-3 repository. Results The best-performing image classification model achieved a precision of 0.928. Demonstrating the feasibility and high performance of the Vertex AI image classification model to automatically detect the presence or absence of sinonasal disease on MRI. Conclusion AutoML allows for potential deployment to optimise diagnostic radiology workflows and lay the foundation for further AI research in radiology and otolaryngology. The usage of AutoML could serve as a formal requirement for a feasibility study.
https://doi.org/10.1177/17085381241236571,Classification of anatomic patterns of peripheral artery disease with automated machine learning (AutoML),Y. Rusinovich; V. Rusinovich; Aliaksei Buhayenka; Vitalii Liashko; Arsen Sabanov; David J F Holstein; S. Aldmour; Markus Doss; Daniela Branzan,"Aim The aim of this study was to investigate the potential of novel automated machine learning (AutoML) in vascular medicine by developing a discriminative artificial intelligence (AI) model for the classification of anatomical patterns of peripheral artery disease (PAD). Material and methods Random open-source angiograms of lower limbs were collected using a web-indexed search. An experienced researcher in vascular medicine labelled the angiograms according to the most applicable grade of femoropopliteal disease in the Global Limb Anatomic Staging System (GLASS). An AutoML model was trained using the Vertex AI (Google Cloud) platform to classify the angiograms according to the GLASS grade with a multi-label algorithm. Following deployment, we conducted a test using 25 random angiograms (five from each GLASS grade). Model tuning through incremental training by introducing new angiograms was executed to the limit of the allocated quota following the initial evaluation to determine its effect on the software’s performance. Results We collected 323 angiograms to create the AutoML model. Among these, 80 angiograms were labelled as grade 0 of femoropopliteal disease in GLASS, 114 as grade 1, 34 as grade 2, 25 as grade 3 and 70 as grade 4. After 4.5 h of training, the AI model was deployed. The AI self-assessed average precision was 0.77 (0 is minimal and 1 is maximal). During the testing phase, the AI model successfully determined the GLASS grade in 100% of the cases. The agreement with the researcher was almost perfect with the number of observed agreements being 22 (88%), Kappa = 0.85 (95% CI 0.69–1.0). The best results were achieved in predicting GLASS grade 0 and grade 4 (initial precision: 0.76 and 0.84). However, the AI model exhibited poorer results in classifying GLASS grade 3 (initial precision: 0.2) compared to other grades. Disagreements between the AI and the researcher were associated with the low resolution of the test images. Incremental training expanded the initial dataset by 23% to a total of 417 images, which improved the model’s average precision by 11% to 0.86. Conclusion After a brief training period with a limited dataset, AutoML has demonstrated its potential in identifying and classifying the anatomical patterns of PAD, operating unhindered by the factors that can affect human analysts, such as fatigue or lack of experience. This technology bears the potential to revolutionize outcome prediction and standardize evidence-based revascularization strategies for patients with PAD, leveraging its adaptability and ability to continuously improve with additional data. The pursuit of further research in AutoML within the field of vascular medicine is both promising and warranted. However, it necessitates additional financial support to realize its full potential."
https://doi.org/10.2166/hydro.2024.404,Water level prediction model of the upper Yangtze River by cloud computing and AutoML,Sen Li; Kebing Chen; Xue Lei; Zhiyuan Ren; Jian Hu; Jianhao Liu,"
 
 The change in water level in the upper reaches of the Yangtze River is of great significance to flood control and navigation. As the first water control station for the mainstream of the Yangtze River after the Minjiang, Hengjiang, Tuojiang River, and other important tributaries flow into the Yangtze River, it is imperative to forecast the water level of Zhutuo Station accurately. The present study utilizes Microsoft Azure's automated machine learning platform (AutoML) and recurrent neural network (RNN) model to predict water levels at Zhutuo Station. The AutoML approach demonstrates certain advantages over RNN methodologies in terms of operability, resource utilization, computational efficiency, and hardware configuration requirements when predicting the water level of Zhutuo. The results show that the future 1-h forecast performance is similar, the mean absolute error (MAE) and root mean square error (RMSE) of the AutoML platform are 0.0098 and 0.012, respectively, and the MAE and RMSE of the RNN model are 0.0088 and 0.011, respectively. The prediction performance of the RNN model is better in the next 8 h and the next 24 h. The current study's outcomes contribute valuable insights for the real-time monitoring and predictive analytics of water levels, thereby enabling waterway managers to obtain the balance between model complexity and modeling convenience."
https://doi.org/10.1109/Informatics62280.2024.10900807,Deploying Oracle Machine Learning AutoML Models for Oracle APEX Analytics,Ivan Pastierik,"Oracle Application Express (APEX) is a powerful, low-code development platform that enables the rapid creation of scalable and secure enterprise applications. Integrating seamlessly with Oracle databases, Oracle APEX provides a user-friendly interface and robust functionality, making it an attractive solution for businesses aiming to reduce development time and costs. This paper explores the utilization of Oracle APEX for various applications, including data analytics, project management, and customer service, highlighting its versatility and efficiency. Additionally, the integration of Oracle Machine Learning (OML) within Oracle APEX is examined, demonstrating how advanced analytics and machine learning models can be developed and deployed to enhance business operations. The discussion is contextualized with a practical example of developing a weather prediction AutoML model using historical data and visualizing real-time predictions through an Oracle APEX application, showcasing the platform's capability to streamline complex processes and drive innovation in enterprise environments."
https://doi.org/10.1145/3704137.3704149,Predicting the Optimal Runtime Limit for Meta AutoML,Alexander Zender; Bernhard G. Humm; Pia Charline Friehe,"Meta Automated Machine Learning (Meta AutoML) allows effective ML models to be generated automatically. This is accomplished by leveraging multiple AutoML solutions and searching for their best model in parallel. While Meta AutoML can produce well-performing ML models, AutoML expertise is required to set the optimal runtime limit. This paper presents the results from a machine-learning approach using a dataset of optimal runtime limits from previous training sessions to predict the optimal runtime limit configuration for the user. Experiments have been conducted with the Meta AutoML platform OMA-ML using 40 open-source datasets. The results indicate that accurately predicting the optimal runtime limit using machine leaning is not possible. Instead, a default runtime limit is suggested in combination with a rule-based training strategy for assessing the optimal runtime limit individually."
